University,Univ_Rank,Enrollment,Avg_SAT,Avg_ACT,city,state,Latitude,Longitude,univ_rank,enrollment,avg_sat,avg_act,latitude,longitude
University of Houston,192.0,35871.0,1040.0,23.0,Houston,TX,29.7863,-95.3889,,,,,,
University of New Mexico,192.0,20215.0,950.0,19.0,Albuquerque,NM,35.1053,-106.6464,,,,,,
University of North Dakota,192.0,11255.0,960.0,21.0,Grand Forks,ND,47.9218,-97.0886,,,,,,
Widener University,192.0,3591.0,930.0,21.0,Chester,PA,39.8456,-75.3718,,,,,,
New Mexico State University,198.0,12027.0,820.0,18.0,Las Cruces,NM,32.3265,-106.7892,,,,,,
North Dakota State University,198.0,12010.0,1000.0,21.0,Fargo,ND,46.8652,-96.8292,,,,,,
Nova Southeastern University,198.0,4295.0,1000.0,22.0,Ft. Lauderdale,FL,26.0789,-80.2406,,,,,,
University of North Carolina--Charlotte,198.0,23404.0,1030.0,22.0,Charlotte,NC,35.208,-80.8304,,,,,,
Bowling Green State University,202.0,14852.0,920.0,20.0,Bowling Green,OH,41.3773,-83.65,,,,,,
California State University--Fullerton,202.0,34576.0,920.0,19.0,Fullerton,CA,33.8841,-117.9279,,,,,,
Dallas Baptist University,202.0,3223.0,1030.0,19.0,Dallas,TX,32.7936,-96.7662,,,,,,
University of Massachusetts--Boston,202.0,12847.0,960.0,21.0,Boston,MA,42.3188,-71.0846,,,,,,
University of Nevada--Reno,202.0,18191.0,970.0,21.0,Reno,NV,39.5497,-119.8483,,,,,,
Central Michigan University,207.0,19923.0,890.0,20.0,Mount Pleasant,MI,43.5966,-84.7759,,,,,,
East Carolina University,207.0,22969.0,970.0,20.0,Greenville,NC,35.5956,-77.3768,,,,,,
Florida A&M University,207.0,7769.0,900.0,19.0,Tallahassee,FL,30.4551,-84.2526,,,,,,
Montana State University,207.0,14400.0,1010.0,21.0,Bozeman,MT,45.6832,-111.0552,,,,,,
University of Alaska--Fairbanks,207.0,7239.0,950.0,19.0,Fairbanks,AK,64.8353,-147.6534,,,,,,
University of Colorado--Denver,207.0,14622.0,960.0,21.0,Denver,CO,39.7621,-104.8759,,,,,,
University of Massachusetts--Dartmouth,207.0,6999.0,910.0,20.0,North Dartmouth,MA,41.6306,-70.9375,,,,,,
University of Montana,207.0,10077.0,950.0,20.0,Missoula,MT,46.875,-114.0214,,,,,,
Western Michigan University,207.0,18313.0,,19.0,Kalamazoo,MI,42.2749,-85.5882,,,,,,
Florida International University,216.0,45813.0,1030.0,23.0,Miami,FL,25.7839,-80.2102,,,,,,
Louisiana Tech University,216.0,11281.0,980.0,21.0,Ruston,LA,32.5329,-92.6363,,,,,,
South Dakota State University,216.0,10959.0,890.0,20.0,Brookings,SD,44.3022,-96.7859,,,,,,
Southern Illinois University--Carbondale,216.0,12182.0,880.0,19.0,Carbondale,IL,37.7221,-89.2238,,,,,,
University of Alabama--Huntsville,216.0,6507.0,1060.0,25.0,Huntsville,AL,34.6988,-86.6412,,,,,,
University of Missouri--Kansas City,216.0,11708.0,980.0,21.0,Kansas City,MO,39.1239,-94.5541,,,,,,
Utah State University,216.0,24838.0,980.0,20.0,Logan,UT,41.74,-111.8419,,,,,,
Ashland University,223.0,4536.0,950.0,20.0,Ashland,OH,40.8668,-82.3156,,,,,,
Benedictine University,223.0,3171.0,,20.0,Lisle,IL,41.7918,-88.0888,,,,,,
California State University--Fresno,223.0,21528.0,800.0,16.0,Fresno,CA,36.7831,-119.7941,,,,,,
Gardner-Webb University,223.0,2362.0,870.0,18.0,Boiling Springs,NC,35.2521,-81.6636,,,,,,
Georgia State University,223.0,25455.0,950.0,20.0,Atlanta,GA,33.7627,-84.4224,,,,,,
Shenandoah University,223.0,2099.0,880.0,19.0,Winchester,VA,39.1735,-78.1746,,,,,,
University of South Dakota,223.0,7500.0,830.0,19.0,Vermillion,SD,42.7811,-96.9255,,,,,,
Wayne State University,223.0,17280.0,983.0,20.0,Detroit,MI,42.3834,-83.1024,,,,,,
American International College,-1.0,1424.0,790.0,16.0,Springfield,MA,42.1155,-72.5395,,,,,,
Augusta University,-1.0,5133.0,930.0,,Augusta,GA,33.3645,-82.0708,,,,,,
Barry University,-1.0,3541.0,850.0,18.0,Miami Shores,FL,25.867,-80.1779,,,,,,
Boise State University,-1.0,20209.0,910.0,20.0,Boise,ID,43.6007,-116.2312,,,,,,
Cardinal Stritch University,-1.0,1534.0,973.0,18.0,Milwaukee,WI,43.0642,-87.9673,,,,,,
Clark Atlanta University,-1.0,3093.0,820.0,18.0,Atlanta,GA,33.7627,-84.4224,,,,,,
Cleveland State University,-1.0,12433.0,890.0,19.0,Cleveland,OH,41.4767,-81.6804,,,,,,
Eastern Michigan University,-1.0,17541.0,910.0,19.0,Ypsilanti,MI,42.2437,-83.6205,,,,,,
East Tennessee State University,-1.0,11065.0,920.0,20.0,Johnson City,TN,36.3406,-82.3803,,,,,,
Florida Atlantic University,-1.0,25402.0,950.0,20.0,Boca Raton,FL,26.3752,-80.108,,,,,,
Georgia Southern University,-1.0,18005.0,1030.0,22.0,Statesboro,GA,32.4376,-81.775,,,,,,
Grand Canyon University,-1.0,,,,Phoenix,AZ,33.5722,-112.0891,,,,,,
Indiana State University,-1.0,11202.0,790.0,16.0,Terre Haute,IN,39.4654,-87.3763,,,,,,
Indiana University of Pennsylvania,-1.0,10618.0,840.0,,Indiana,PA,40.622,-79.1552,,,,,,
Jackson State University,-1.0,7492.0,810.0,16.0,Jackson,MS,32.3163,-90.2124,,,,,,
Kennesaw State University,-1.0,32166.0,1000.0,21.0,Kennesaw,GA,34.026,-84.6177,,,,,,
Lamar University,-1.0,9326.0,860.0,18.0,Beaumont,TX,30.0849,-94.1451,,,,,,
Liberty University,-1.0,47050.0,950.0,21.0,Lynchburg,VA,37.4003,-79.1909,,,,,,
Lindenwood University,-1.0,7549.0,920.0,20.0,St. Charles,MO,38.7954,-90.5157,,,,,,
Middle Tennessee State University,-1.0,19693.0,950.0,19.0,Murfreesboro,TN,35.8492,-86.4119,,,,,,
Morgan State University,-1.0,6362.0,800.0,16.0,Baltimore,MD,39.3051,-76.6144,,,,,,
National Louis University,-1.0,,,,Chicago,IL,41.8373,-87.6862,,,,,,
North Carolina A&T State University,-1.0,9668.0,850.0,18.0,Greensboro,NC,36.0956,-79.8269,,,,,,
Northern Arizona University,-1.0,26506.0,940.0,20.0,Flagstaff,AZ,35.1872,-111.6195,,,,,,
Northern Illinois University,-1.0,14079.0,,19.0,DeKalb,IL,41.9313,-88.7482,,,,,,
Oakland University,-1.0,16568.0,805.0,20.0,Rochester,MI,42.6866,-83.1198,,,,,,
Old Dominion University,-1.0,19793.0,890.0,18.0,Norfolk,VA,36.8945,-76.259,,,,,,
Portland State University,-1.0,21633.0,930.0,19.0,Portland,OR,45.5372,-122.65,,,,,,
Prairie View A&M University,-1.0,7455.0,750.0,15.0,Prairie View,TX,30.085,-95.9897,,,,,,
Regent University,-1.0,3806.0,920.0,19.0,Virginia Beach,VA,36.7335,-76.0435,,,,,,
Sam Houston State University,-1.0,17902.0,870.0,19.0,Huntsville,TX,30.705,-95.5544,,,,,,
San Francisco State University,-1.0,25945.0,860.0,18.0,San Francisco,CA,37.7562,-122.443,,,,,,
Spalding University,-1.0,,,18.0,Louisville,KY,38.1663,-85.6485,,,,,,
Tennessee State University,-1.0,7007.0,788.0,16.0,Nashville,TN,36.1715,-86.7843,,,,,,
Tennessee Technological University,-1.0,9437.0,960.0,21.0,Cookeville,TN,36.1484,-85.5114,,,,,,
Texas A&M University--Commerce,-1.0,7605.0,850.0,17.0,Commerce,TX,33.2421,-95.8991,,,,,,
